Phone Number,Domain,Treatment,Destination,Notes,Enable
3135374240,adveng.net,SIP Trunk,advengpri,11399,yes
3135373500,adveng.net,SIP Trunk,advengpri,11399,yes
3135377389,adveng.net,SIP Trunk,advengpri,11399,yes
7347380285,adveng.net,SIP Trunk,advengpri,11399,yes
7347380208,adveng.net,SIP Trunk,advengpri,11399,yes
7347380209,adveng.net,SIP Trunk,advengpri,11399,yes
7347380210,adveng.net,SIP Trunk,advengpri,11399,yes
7347380211,adveng.net,SIP Trunk,advengpri,11399,yes
7347380212,adveng.net,SIP Trunk,advengpri,11399,yes
7347380213,adveng.net,SIP Trunk,advengpri,11399,yes
7347380214,adveng.net,SIP Trunk,advengpri,11399,yes
7347380215,adveng.net,SIP Trunk,advengpri,11399,yes
7347380216,adveng.net,SIP Trunk,advengpri,11399,yes
7347380217,adveng.net,SIP Trunk,advengpri,11399,yes
7347380218,adveng.net,SIP Trunk,advengpri,11399,yes
7347380219,adveng.net,SIP Trunk,advengpri,11399,yes
7347380220,adveng.net,SIP Trunk,advengpri,11399,yes
7347380221,adveng.net,SIP Trunk,advengpri,11399,yes
7347380222,adveng.net,SIP Trunk,advengpri,11399,yes
7347380223,adveng.net,SIP Trunk,advengpri,11399,yes
7347380224,adveng.net,SIP Trunk,advengpri,11399,yes
7347380225,adveng.net,SIP Trunk,advengpri,11399,yes
7347380226,adveng.net,SIP Trunk,advengpri,11399,yes
7347380227,adveng.net,SIP Trunk,advengpri,11399,yes
7347380228,adveng.net,SIP Trunk,advengpri,11399,yes
7347380229,adveng.net,SIP Trunk,advengpri,11399,yes
7347380230,adveng.net,SIP Trunk,advengpri,11399,yes
7347380231,adveng.net,SIP Trunk,advengpri,11399,yes
7347380232,adveng.net,SIP Trunk,advengpri,11399,yes
7347380233,adveng.net,SIP Trunk,advengpri,11399,yes
7347380234,adveng.net,SIP Trunk,advengpri,11399,yes
7347380235,adveng.net,SIP Trunk,advengpri,11399,yes
7347380236,adveng.net,SIP Trunk,advengpri,11399,yes
7347380237,adveng.net,SIP Trunk,advengpri,11399,yes
7347380238,adveng.net,SIP Trunk,advengpri,11399,yes
7347380239,adveng.net,SIP Trunk,advengpri,11399,yes
7347380240,adveng.net,SIP Trunk,advengpri,11399,yes
7347380241,adveng.net,SIP Trunk,advengpri,11399,yes
7347380242,adveng.net,SIP Trunk,advengpri,11399,yes
7347380243,adveng.net,SIP Trunk,advengpri,11399,yes
7347380244,adveng.net,SIP Trunk,advengpri,11399,yes
7347380245,adveng.net,SIP Trunk,advengpri,11399,yes
7347380246,adveng.net,SIP Trunk,advengpri,11399,yes
7347380247,adveng.net,SIP Trunk,advengpri,11399,yes
7347380248,adveng.net,SIP Trunk,advengpri,11399,yes
7347380249,adveng.net,SIP Trunk,advengpri,11399,yes
7347380250,adveng.net,SIP Trunk,advengpri,11399,yes
7347380251,adveng.net,SIP Trunk,advengpri,11399,yes
7347380252,adveng.net,SIP Trunk,advengpri,11399,yes
7347380253,adveng.net,SIP Trunk,advengpri,11399,yes
7347380254,adveng.net,SIP Trunk,advengpri,11399,yes
7347380255,adveng.net,SIP Trunk,advengpri,11399,yes
7347380256,adveng.net,SIP Trunk,advengpri,11399,yes
7347380257,adveng.net,SIP Trunk,advengpri,11399,yes
7347380258,adveng.net,SIP Trunk,advengpri,11399,yes
7347380259,adveng.net,SIP Trunk,advengpri,11399,yes
7347380260,adveng.net,SIP Trunk,advengpri,11399,yes
7347380261,adveng.net,SIP Trunk,advengpri,11399,yes
7347380262,adveng.net,SIP Trunk,advengpri,11399,yes
7347380263,adveng.net,SIP Trunk,advengpri,11399,yes
7347380264,adveng.net,SIP Trunk,advengpri,11399,yes
7347380265,adveng.net,SIP Trunk,advengpri,11399,yes
7347380266,adveng.net,SIP Trunk,advengpri,11399,yes
7347380267,adveng.net,SIP Trunk,advengpri,11399,yes
7347380268,adveng.net,SIP Trunk,advengpri,11399,yes
7347380269,adveng.net,SIP Trunk,advengpri,11399,yes
7347380270,adveng.net,SIP Trunk,advengpri,11399,yes
7347380271,adveng.net,SIP Trunk,advengpri,11399,yes
7347380272,adveng.net,SIP Trunk,advengpri,11399,yes
7347380273,adveng.net,SIP Trunk,advengpri,11399,yes
7347380274,adveng.net,SIP Trunk,advengpri,11399,yes
7347380275,adveng.net,SIP Trunk,advengpri,11399,yes
7347380276,adveng.net,SIP Trunk,advengpri,11399,yes
7347380277,adveng.net,SIP Trunk,advengpri,11399,yes
7347380278,adveng.net,SIP Trunk,advengpri,11399,yes
7347380279,adveng.net,SIP Trunk,advengpri,11399,yes
7347380280,adveng.net,SIP Trunk,advengpri,11399,yes
7347380281,adveng.net,SIP Trunk,advengpri,11399,yes
7347380282,adveng.net,SIP Trunk,advengpri,11399,yes
7347380283,adveng.net,SIP Trunk,advengpri,11399,yes
7347380284,adveng.net,SIP Trunk,advengpri,11399,yes
7347380286,adveng.net,SIP Trunk,advengpri,11399,yes
7347380287,adveng.net,SIP Trunk,advengpri,11399,yes
