PBX DID Range or DISA Number,,,,,
MetaSphere CFS,PBX Phone number,(First) Phone number,Type,First code,Range size
Grid4-Liberty-CFS-1,2486877799,7347214821,DID range,7347214821,1
Grid4-Liberty-CFS-1,2486877799,7347210059,DID range,7347210059,1
Grid4-Liberty-CFS-1,2486877799,7347286741,DID range,7347286741,1
Grid4-Liberty-CFS-1,2486877799,7347285346,DID range,7347285346,1
Grid4-Liberty-CFS-1,2486877799,7347285347,DID range,7347285347,1
Grid4-Liberty-CFS-1,2486877799,7347285348,DID range,7347285348,1
Grid4-Liberty-CFS-1,2486877799,7347213835,DID range,7347213835,1
Grid4-Liberty-CFS-1,2486877799,7347217426,DID range,7347217426,1
Grid4-Liberty-CFS-1,2486877799,7347219253,DID range,7347219253,1
Grid4-Liberty-CFS-1,2486877799,7347224418,DID range,7347224418,1
Grid4-Liberty-CFS-1,2486877799,7347224458,DID range,7347224458,1
Grid4-Liberty-CFS-1,2486877799,7347285341,DID range,7347285341,1
