PBX DID Range or DISA Number,,,,,
MetaSphere CFS,PBX Phone number,(First) Phone number,Type,First code,Range size
Grid4-Liberty-CFS-1,2486877799,7347224418,DID range,7347224418,1
Grid4-Liberty-CFS-1,2486877799,7347224458,DID range,7347224458,1
Grid4-Liberty-CFS-1,2486877799,7347285100,DID range,7347285100,1
Grid4-Liberty-CFS-1,2486877799,7347285341,DID range,7347285341,1
Grid4-Liberty-CFS-1,2486877799,7347285346,DID range,7347285346,1
Grid4-Liberty-CFS-1,2486877799,7347285347,DID range,7347285347,1
Grid4-Liberty-CFS-1,2486877799,7347285348,DID range,7347285348,1
Grid4-Liberty-CFS-1,2486877799,7347286741,DID range,7347286741,1
Grid4-Liberty-CFS-1,2486877799,7347380208,DID range,7347380208,77
Grid4-Liberty-CFS-1,2486877799,7347380286,DID range,7347380286,2
Grid4-Liberty-CFS-1,2486877799,7347380285,DID range,7347380285,1
Grid4-Liberty-CFS-1,2486877799,3135377389,DID range,3135377389,1
Grid4-Liberty-CFS-1,2486877799,3135373500,DID range,3135373500,1
Grid4-Liberty-CFS-1,2486877799,3135374240,DID range,3135374240,1
