Phone Number,Domain,Treatment,Destination,Notes,Enable
13135373500,adveng.net,SIP Trunk,advengpri,11399,yes
13135374240,adveng.net,SIP Trunk,advengpri,11399,yes
13135377389,adveng.net,SIP Trunk,advengpri,11399,yes
17347224418,adveng.net,SIP Trunk,advengpri,11399,yes
17347224458,adveng.net,SIP Trunk,advengpri,11399,yes
17347285100,adveng.net,SIP Trunk,advengpri,11399,yes
17347285341,adveng.net,SIP Trunk,advengpri,11399,yes
17347285346,adveng.net,SIP Trunk,advengpri,11399,yes
17347285347,adveng.net,SIP Trunk,advengpri,11399,yes
17347285348,adveng.net,SIP Trunk,advengpri,11399,yes
17347286741,adveng.net,SIP Trunk,advengpri,11399,yes
17347380208,adveng.net,SIP Trunk,advengpri,11399,yes
17347380209,adveng.net,SIP Trunk,advengpri,11399,yes
17347380210,adveng.net,SIP Trunk,advengpri,11399,yes
17347380211,adveng.net,SIP Trunk,advengpri,11399,yes
17347380212,adveng.net,SIP Trunk,advengpri,11399,yes
17347380213,adveng.net,SIP Trunk,advengpri,11399,yes
17347380214,adveng.net,SIP Trunk,advengpri,11399,yes
17347380215,adveng.net,SIP Trunk,advengpri,11399,yes
17347380216,adveng.net,SIP Trunk,advengpri,11399,yes
17347380217,adveng.net,SIP Trunk,advengpri,11399,yes
17347380218,adveng.net,SIP Trunk,advengpri,11399,yes
17347380219,adveng.net,SIP Trunk,advengpri,11399,yes
17347380220,adveng.net,SIP Trunk,advengpri,11399,yes
17347380221,adveng.net,SIP Trunk,advengpri,11399,yes
17347380222,adveng.net,SIP Trunk,advengpri,11399,yes
17347380223,adveng.net,SIP Trunk,advengpri,11399,yes
17347380224,adveng.net,SIP Trunk,advengpri,11399,yes
17347380225,adveng.net,SIP Trunk,advengpri,11399,yes
17347380226,adveng.net,SIP Trunk,advengpri,11399,yes
17347380227,adveng.net,SIP Trunk,advengpri,11399,yes
17347380228,adveng.net,SIP Trunk,advengpri,11399,yes
17347380229,adveng.net,SIP Trunk,advengpri,11399,yes
17347380230,adveng.net,SIP Trunk,advengpri,11399,yes
17347380231,adveng.net,SIP Trunk,advengpri,11399,yes
17347380232,adveng.net,SIP Trunk,advengpri,11399,yes
17347380233,adveng.net,SIP Trunk,advengpri,11399,yes
17347380234,adveng.net,SIP Trunk,advengpri,11399,yes
17347380235,adveng.net,SIP Trunk,advengpri,11399,yes
17347380236,adveng.net,SIP Trunk,advengpri,11399,yes
17347380237,adveng.net,SIP Trunk,advengpri,11399,yes
17347380238,adveng.net,SIP Trunk,advengpri,11399,yes
17347380239,adveng.net,SIP Trunk,advengpri,11399,yes
17347380240,adveng.net,SIP Trunk,advengpri,11399,yes
17347380241,adveng.net,SIP Trunk,advengpri,11399,yes
17347380242,adveng.net,SIP Trunk,advengpri,11399,yes
17347380243,adveng.net,SIP Trunk,advengpri,11399,yes
17347380244,adveng.net,SIP Trunk,advengpri,11399,yes
17347380245,adveng.net,SIP Trunk,advengpri,11399,yes
17347380246,adveng.net,SIP Trunk,advengpri,11399,yes
17347380247,adveng.net,SIP Trunk,advengpri,11399,yes
17347380248,adveng.net,SIP Trunk,advengpri,11399,yes
17347380249,adveng.net,SIP Trunk,advengpri,11399,yes
17347380250,adveng.net,SIP Trunk,advengpri,11399,yes
17347380251,adveng.net,SIP Trunk,advengpri,11399,yes
17347380252,adveng.net,SIP Trunk,advengpri,11399,yes
17347380253,adveng.net,SIP Trunk,advengpri,11399,yes
17347380254,adveng.net,SIP Trunk,advengpri,11399,yes
17347380255,adveng.net,SIP Trunk,advengpri,11399,yes
17347380256,adveng.net,SIP Trunk,advengpri,11399,yes
17347380257,adveng.net,SIP Trunk,advengpri,11399,yes
17347380258,adveng.net,SIP Trunk,advengpri,11399,yes
17347380259,adveng.net,SIP Trunk,advengpri,11399,yes
17347380260,adveng.net,SIP Trunk,advengpri,11399,yes
17347380261,adveng.net,SIP Trunk,advengpri,11399,yes
17347380262,adveng.net,SIP Trunk,advengpri,11399,yes
17347380263,adveng.net,SIP Trunk,advengpri,11399,yes
17347380264,adveng.net,SIP Trunk,advengpri,11399,yes
17347380265,adveng.net,SIP Trunk,advengpri,11399,yes
17347380266,adveng.net,SIP Trunk,advengpri,11399,yes
17347380267,adveng.net,SIP Trunk,advengpri,11399,yes
17347380268,adveng.net,SIP Trunk,advengpri,11399,yes
17347380269,adveng.net,SIP Trunk,advengpri,11399,yes
17347380270,adveng.net,SIP Trunk,advengpri,11399,yes
17347380271,adveng.net,SIP Trunk,advengpri,11399,yes
17347380272,adveng.net,SIP Trunk,advengpri,11399,yes
17347380273,adveng.net,SIP Trunk,advengpri,11399,yes
17347380274,adveng.net,SIP Trunk,advengpri,11399,yes
17347380275,adveng.net,SIP Trunk,advengpri,11399,yes
17347380276,adveng.net,SIP Trunk,advengpri,11399,yes
17347380277,adveng.net,SIP Trunk,advengpri,11399,yes
17347380278,adveng.net,SIP Trunk,advengpri,11399,yes
17347380279,adveng.net,SIP Trunk,advengpri,11399,yes
17347380280,adveng.net,SIP Trunk,advengpri,11399,yes
17347380281,adveng.net,SIP Trunk,advengpri,11399,yes
17347380282,adveng.net,SIP Trunk,advengpri,11399,yes
17347380283,adveng.net,SIP Trunk,advengpri,11399,yes
17347380284,adveng.net,SIP Trunk,advengpri,11399,yes
17347380285,adveng.net,SIP Trunk,advengpri,11399,yes
17347380286,adveng.net,SIP Trunk,advengpri,11399,yes
17347380287,adveng.net,SIP Trunk,advengpri,11399,yes
