PBX DID Range or DISA Number,,,,,
MetaSphere CFS,PBX Phone number,(First) Phone number,Type,First code,Range size
Grid4-Liberty-CFS-1,2486877799,5867315347,DID range,5867315347,1
Grid4-Liberty-CFS-1,2486877799,5867315072,DID range,5867315072,1
Grid4-Liberty-CFS-1,2486877799,5867310135,DID range,5867310135,1
Grid4-Liberty-CFS-1,2486877799,5867260823,DID range,5867260823,1
Grid4-Liberty-CFS-1,2486877799,5867261705,DID range,5867261705,1
Grid4-Liberty-CFS-1,2486877799,5867310159,DID range,5867310159,1
Grid4-Liberty-CFS-1,2486877799,5867310198,DID range,5867310198,1
Grid4-Liberty-CFS-1,2486877799,5867313212,DID range,5867313212,1
Grid4-Liberty-CFS-1,2486877799,5867314021,DID range,5867314021,1
Grid4-Liberty-CFS-1,2486877799,5867315049,DID range,5867315049,1
Grid4-Liberty-CFS-1,2486877799,5867315353,DID range,5867315353,1
Grid4-Liberty-CFS-1,2486877799,5867315382,DID range,5867315382,2
Grid4-Liberty-CFS-1,2486877799,5867316220,DID range,5867316220,1
Grid4-Liberty-CFS-1,2486877799,5867317184,DID range,5867317184,1
Grid4-Liberty-CFS-1,2486877799,5867317829,DID range,5867317829,1
Grid4-Liberty-CFS-1,2486877799,5867318294,DID range,5867318294,1
Grid4-Liberty-CFS-1,2486877799,5867319193,DID range,5867319193,1
Grid4-Liberty-CFS-1,2486877799,5867397637,DID range,5867397637,1
Grid4-Liberty-CFS-1,2486877799,5868845240,DID range,5868845240,42
Grid4-Liberty-CFS-1,2486877799,5868845477,DID range,5868845477,50
Grid4-Liberty-CFS-1,2486877799,5862511037,DID range,5862511037,1
Grid4-Liberty-CFS-1,2486877799,5867315393,DID range,5867315393,1
