Phone Number,Domain,Treatment,Destination,Notes,Enable
15867315347,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867314021,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867315353,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867315382,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867315383,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867317829,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867317637,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867311705,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867310135,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867310823,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867310198,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867313212,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867317184,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867318294,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867310159,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867315072,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867315049,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867316220,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867319193,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845240,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845241,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845242,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845243,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845244,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845245,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845246,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845247,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845248,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845249,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845250,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845251,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845252,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845253,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845254,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845255,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845256,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845257,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845258,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845259,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845260,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845261,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845262,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845263,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845264,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845265,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845266,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845267,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845268,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845269,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845270,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845271,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845272,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845273,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845274,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845275,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845276,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845277,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845278,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845279,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845280,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845281,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867260823,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15867261705,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845477,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845478,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845479,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845480,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845481,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845482,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845483,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845484,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845485,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845486,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
